gene_symbol,Fgb
parameter_name,Total T cells - % of CD45+
pvalue,0.601174
mouse_strain,C57BL
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
analysis_id,lr08vbw6qf0fn79
parameter_id,MGP_MLN_001_001
