parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:894679
analysis_id,f8ovo03671iu2xv
pvalue,0.5359631
mouse_strain,C57BL
gene_symbol,Bach2
mouse_life_stage,Early adult
