parameter_name,Corneal opacity
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
pvalue,0.6257835
analysis_id,32s6139dy99vhu2
gene_symbol,Ints7
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
