analysis_id,drhuvoi15653584
gene_accession_id,MGI:97054
gene_symbol,Mov10
parameter_id,MGP_IMM_028_001
pvalue,0.6506544
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
