parameter_name,Contact righting
analysis_id,123d19i89h1ufxm
pvalue,0.08034108
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
gene_symbol,Slx4ip
mouse_strain,C57BL
gene_accession_id,MGI:1921493
