gene_symbol,Mgst2
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
gene_accession_id,MGI:2448481
pvalue,0.7775374
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
analysis_id,1553mtst2ds5yyq
