gene_symbol,Kdm4c
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
pvalue,0.6022363
analysis_id,31kr22h74v1f4gc
parameter_name,Total protein
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
