analysis_id,jhc6876ns9j3ex0
parameter_id,IMPC_ABR_002_001
gene_symbol,Opn3
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1265432
gene_accession_id,MGI:1338022
