analysis_id,0t86l745u0zjm92
pvalue,0.6043215
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_name,Neural tube morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
