parameter_name,center - distance
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:2446274
pvalue,0.1759569
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,1fk0206k8f6z993
