gene_symbol,Gpbp1l1
parameter_name,Coat - hair distribution - back
parameter_id,IMPC_CSD_011_001
mouse_strain,C57BL
analysis_id,63syi97zq38d58l
mouse_life_stage,Early adult
pvalue,0.136282
gene_accession_id,MGI:1924360
