analysis_id,422m474qznqt2g1
gene_accession_id,MGI:1914071
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
parameter_name,Lens Opacity
pvalue,0.667275
gene_symbol,Bcs1l
mouse_life_stage,E9.5
