parameter_name,Prepulse inhibition - PP3
gene_symbol,Fgb
analysis_id,czk72z267s5019n
parameter_id,ESLIM_011_001_703
pvalue,0.5033824
gene_accession_id,MGI:99501
mouse_strain,C57BL
mouse_life_stage,E15.5
