analysis_id,71eyt0zmhm298xg
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.8897639
gene_symbol,Snap23
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
parameter_id,MGP_MLN_006_001
mouse_strain,C57BL
