analysis_id,i7634av3a429l03
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
gene_symbol,Etfdh
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
parameter_name,Calcium
pvalue,0.7639498
