analysis_id,8785y3kk77nv301
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
gene_accession_id,MGI:1916043
pvalue,0.842942
parameter_name,KLRG1+ NK cells - % of CD45+
