analysis_id,g4zv7mz0dpx984y
parameter_id,IMPC_OFD_012_001
pvalue,0.7326545
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_name,Periphery permanence time
mouse_life_stage,Middle aged adult
