gene_symbol,Tnni1
gene_accession_id,MGI:105073
pvalue,0.6949605
parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,0o012a90t58g57w
