parameter_id,IMPC_CSD_069_001
gene_accession_id,MGI:2441730
analysis_id,ivq975i895v653y
mouse_strain,C57BL
parameter_name,Upper teeth appearance
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
pvalue,0.1497329
