analysis_id,921399x9jh6506t
gene_accession_id,MGI:88174
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.9492492
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,MGP_PBI_004_001
