parameter_name,Humerus
gene_symbol,Mecom
analysis_id,ck4j3k47wl6lz5x
pvalue,0.3396481
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
