gene_symbol,Med22
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:98446
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3513102
parameter_name,Embryo turning
analysis_id,z74q51t1f3kqu4g
