analysis_id,061w2c9gi75b84r
pvalue,0.297621
parameter_id,IMPC_CBC_024_001
mouse_strain,C57BL
gene_symbol,Tnfsf10
parameter_name,UIBC (unsaturated iron binding capacity)
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
