analysis_id,b5goj9013h6by27
gene_accession_id,MGI:2685053
gene_symbol,NTMT2
mouse_strain,C57BL
pvalue,0.7087286
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
