gene_symbol,Cdin1
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_name,Hindlimbs - size
mouse_life_stage,Early adult
pvalue,0.2112672
parameter_id,JAXLA_CSD_022_001
analysis_id,j898js60t0o7i51
