analysis_id,4tori62627j8vz2
parameter_name,PP1 + pulse startle magnitude
pvalue,0.4902409
gene_symbol,Ahctf1
mouse_strain,C57BL
gene_accession_id,MGI:1915033
parameter_id,ESLIM_011_001_007
mouse_life_stage,Early adult
