analysis_id,2h410j325c5x6s4
pvalue,0.1845654
mouse_strain,C57BL
parameter_id,MGP_MLN_067_001
mouse_life_stage,E12.5
parameter_name,Resting CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
