analysis_id,h99591y6yc42z50
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
pvalue,0.67338
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
parameter_name,Chloride
