parameter_name,Latency to center entry
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
gene_symbol,AU040320
parameter_id,IMPC_OFD_018_001
analysis_id,v9v5q89ad175bj0
pvalue,0.477887
mouse_strain,C57BL
