gene_symbol,Trp53rkb
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
parameter_name,Bone Mineral Content
pvalue,0.5077279
parameter_id,ESLIM_005_001_005
analysis_id,dqqv0q0i596z624
mouse_strain,C57BL
