parameter_name,Fractional Shortening
analysis_id,8rs447222bb839u
parameter_id,IMPC_ECH_005_001
pvalue,0.8292553
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
mouse_life_stage,Early adult
mouse_strain,C57BL
