parameter_name,Fat/Body weight
parameter_id,JAXLA_DXA_009_001
mouse_life_stage,Early adult
gene_symbol,Rab17
pvalue,0.3606439
mouse_strain,C57BL
gene_accession_id,MGI:104640
analysis_id,91u25wh7qp97v5h
