parameter_name,Body position
analysis_id,58h0rd2yh4tk378
mouse_life_stage,Early adult
gene_symbol,Rnf114
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
pvalue,0.6383848
gene_accession_id,MGI:1933159
