gene_symbol,Ahcy
mouse_life_stage,E12.5
parameter_id,MGP_PBI_038_001
analysis_id,5cn6611mv9holux
gene_accession_id,MGI:87968
parameter_name,Ly6Clow monocyte number
pvalue,0.4730824
mouse_strain,C57BL
