analysis_id,7hdo97654w562j6
pvalue,0.4950168
gene_symbol,Hpca
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
