parameter_name,Calcium
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3477123
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:105073
gene_symbol,Tnni1
analysis_id,352w5x9zg266qir
