parameter_name,Body length
gene_accession_id,MGI:106659
parameter_id,IMPC_DXA_006_001
pvalue,0.1681093
mouse_strain,C57BL
gene_symbol,Sprr1b
mouse_life_stage,Early adult
analysis_id,euh0lk2wfeval38
