analysis_id,3n17c2za87ap829
mouse_life_stage,Early adult
pvalue,0.6935347
gene_symbol,Sgip1
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
mouse_strain,C57BL
gene_accession_id,MGI:1920344
