gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_strain,C57BL
analysis_id,iu85285f02i2h06
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
pvalue,0.7181528
