parameter_name,Thyroxine
gene_symbol,Traf6
analysis_id,fd5143cv8u5axym
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
mouse_strain,C57BL
pvalue,0.8507849
