analysis_id,0896f1149vht5vb
gene_symbol,Pld1
parameter_id,MGP_IMM_070_001
pvalue,0.224561
mouse_strain,C57BL
gene_accession_id,MGI:109585
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
