analysis_id,2026tt5255f9m0c
gene_accession_id,MGI:2444113
pvalue,0.584869
gene_symbol,Nemp2
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_100_001
mouse_strain,C57BL
