pvalue,0.5850466
analysis_id,xu02d5es93f3539
parameter_name,Body Weight
mouse_strain,C57BL
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
