analysis_id,1264m2fs2lfj60d
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
pvalue,0.8972732
parameter_name,eye size
