analysis_id,u52z614i928v0ai
pvalue,0.4953659
mouse_strain,129SV
parameter_name,Eosinophil number
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
