parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
pvalue,0.8258356
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
analysis_id,s94n6pk6y0320jt
