gene_symbol,Frmpd1
pvalue,0.8095543
mouse_life_stage,Middle aged adult
analysis_id,im1499lzre3g81o
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
parameter_name,Lean mass
