analysis_id,936i54j63zh48o1
gene_accession_id,MGI:103302
gene_symbol,Bmp7
mouse_strain,C57BL
pvalue,0.6429592
mouse_life_stage,Early adult
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
