gene_symbol,Exd1
analysis_id,wq24j4p0aty565x
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
pvalue,0.7990696
gene_accession_id,MGI:3045306
parameter_id,MGP_PBI_002_001
