gene_symbol,Nr0b2
pvalue,0.8246847
mouse_strain,B6J
analysis_id,5b8qymwzc50v1d3
gene_accession_id,MGI:1346344
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
parameter_name,Tremor
