gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,C58BL
parameter_id,IMPC_OFD_017_001
mouse_life_stage,Early adult
analysis_id,5454l3xqq48f338
parameter_name,Center average speed
pvalue,0.9799134
