gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_name,Triglycerides
mouse_life_stage,Early adult
pvalue,0.9243071
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
analysis_id,y37n212d9l6541b
