parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
mouse_life_stage,E9.5
pvalue,0.9206893
mouse_strain,C57BL
gene_accession_id,MGI:1914515
analysis_id,1p5g5e7ecc7l003
gene_symbol,Slc39a10
