parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:1917226
mouse_strain,C58BL
analysis_id,0ak4r5h534z8551
pvalue,0.2462248
mouse_life_stage,Early adult
gene_symbol,Galk2
