analysis_id,ztvhomc26w4ke7g
parameter_name,HDL-cholesterol
mouse_life_stage,Late adult
gene_symbol,Hpca
parameter_id,HMGULA_CBC_016_001
mouse_strain,C57BL
pvalue,0.5033517
gene_accession_id,MGI:1336200
