analysis_id,li3r3147v5gi1i2
gene_accession_id,MGI:1336200
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.397502
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
