gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
analysis_id,421x9jr4xmvrg31
pvalue,0.9312973
mouse_strain,C57BL
