analysis_id,84hzb4971hs666k
gene_accession_id,MGI:88380
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.914607
parameter_name,Fractional Shortening
gene_symbol,F2
parameter_id,IMPC_ECH_005_001
