gene_symbol,Ppm1j
parameter_id,MGP_IMM_066_001
analysis_id,k4626hf5xjx469v
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919137
parameter_name,CD11b-high cDC - % of cDC
pvalue,0.8477478
