gene_symbol,Ift74
mouse_life_stage,Early adult
analysis_id,loyezt1261d76x5
pvalue,0.5807711
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
parameter_name,Basophil differential count
gene_accession_id,MGI:1914944
