analysis_id,d5m0x750obuix36
mouse_strain,129SV
parameter_name,Total NK cells - % of CD45+
gene_symbol,Inpp1
mouse_life_stage,Early adult
pvalue,0.8717506
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:104848
