analysis_id,7q7276o8c651368
Parameter_name,KLRG1+ gd T cells - % of CD45+
Mouse_life_stage,Early adult
Parameter_id,MGP_IMM_089_001
Gene_accession_id,MGI:1913405
gene_symbol,Ufc1
Pvalue,0.2505551
Mouse_strain,C57BL
