parameter_name,Triglycerides
mouse_strain,C57BL
gene_symbol,Casq1
gene_accession_id,MGI:1309468
pvalue,0.9856787
analysis_id,0c9m4pxxv04ub47
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
