analysis_id,72320730e1wixbl
pvalue,0.272593
gene_symbol,Lpgat1
parameter_name,Body Weight
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:2446186
